Date Time, Water Level, Sigma, I, L 
2013-02-17 00:00,0.036,0.039,0,0
2013-02-17 01:00,-0.112,0.030,0,0
2013-02-17 02:00,-0.246,0.023,0,0
2013-02-17 03:00,-0.331,0.049,0,0
2013-02-17 04:00,-0.449,0.033,0,0
2013-02-17 05:00,-0.531,0.030,0,0
2013-02-17 06:00,-0.656,0.026,0,0
2013-02-17 07:00,-0.699,0.026,0,0
2013-02-17 08:00,-0.696,0.030,0,0
2013-02-17 09:00,-0.768,0.023,0,0
2013-02-17 10:00,-0.840,0.023,0,0
2013-02-17 11:00,-0.738,0.026,0,0
2013-02-17 12:00,-0.725,0.023,0,0
2013-02-17 13:00,-0.663,0.030,0,0
2013-02-17 14:00,-0.522,0.023,0,0
2013-02-17 15:00,-0.417,0.023,0,0
2013-02-17 16:00,-0.249,0.023,0,0
2013-02-17 17:00,-0.131,0.016,0,0
2013-02-17 18:00,0.013,0.013,0,0
2013-02-17 19:00,0.144,0.023,0,0
2013-02-17 20:00,0.253,0.020,0,0
2013-02-17 21:00,0.256,0.020,0,0
2013-02-17 22:00,0.315,0.016,0,0
2013-02-17 23:00,0.236,0.010,0,0
2013-02-18 00:00,0.171,0.013,0,0
2013-02-18 01:00,0.112,0.010,0,0
2013-02-18 02:00,0.056,0.010,0,0
2013-02-18 03:00,-0.089,0.010,0,0
2013-02-18 04:00,-0.128,0.016,0,0
2013-02-18 05:00,-0.335,0.010,0,0
2013-02-18 06:00,-0.427,0.013,0,0
2013-02-18 07:00,-0.499,0.010,0,0
2013-02-18 08:00,-0.505,0.036,0,0
2013-02-18 09:00,-0.502,0.013,0,0
2013-02-18 10:00,-0.492,0.016,0,0
2013-02-18 11:00,-0.407,0.013,0,0
2013-02-18 12:00,-0.377,0.033,0,0
2013-02-18 13:00,-0.253,0.020,0,0
2013-02-18 14:00,-0.171,0.026,0,0
2013-02-18 15:00,0.016,0.046,0,0
2013-02-18 16:00,0.164,0.036,0,0
2013-02-18 17:00,0.312,0.036,0,0
2013-02-18 18:00,0.469,0.036,0,0
2013-02-18 19:00,0.656,0.039,0,0
2013-02-18 20:00,0.823,0.043,0,0
2013-02-18 21:00,0.938,0.072,0,0
2013-02-18 22:00,1.089,0.056,0,0
2013-02-18 23:00,1.198,0.049,0,0
2013-02-19 00:00,1.240,0.049,0,0
2013-02-19 01:00,1.286,0.049,0,0
2013-02-19 02:00,1.220,0.046,0,0
2013-02-19 03:00,1.270,0.072,0,0
2013-02-19 04:00,1.165,0.052,0,0
2013-02-19 05:00,1.060,0.066,0,0
2013-02-19 06:00,0.997,0.052,0,0
2013-02-19 07:00,0.896,0.059,0,0
2013-02-19 08:00,0.738,0.033,0,0
2013-02-19 09:00,0.666,0.059,0,0
2013-02-19 10:00,0.522,0.036,0,0
2013-02-19 11:00,0.561,0.039,0,0
2013-02-19 12:00,0.620,0.049,0,0
2013-02-19 13:00,0.663,0.079,0,0
2013-02-19 14:00,0.548,0.059,0,0
2013-02-19 15:00,0.469,0.043,0,0
2013-02-19 16:00,0.594,0.043,0,0
2013-02-19 17:00,0.659,0.072,0,0
2013-02-19 18:00,0.719,0.075,0,0
2013-02-19 19:00,0.732,0.052,0,0
2013-02-19 20:00,0.801,0.039,0,0
2013-02-19 21:00,0.948,0.030,0,0
2013-02-19 22:00,1.063,0.039,0,0
2013-02-19 23:00,1.040,0.043,0,0
2013-02-20 00:00,1.119,0.059,0,0
2013-02-20 01:00,1.076,0.036,0,0
2013-02-20 02:00,0.978,0.033,0,0
2013-02-20 03:00,0.922,0.026,0,0
2013-02-20 04:00,0.771,0.030,0,0
2013-02-20 05:00,0.584,0.023,0,0
2013-02-20 06:00,0.427,0.000,0,0
2013-02-20 07:00,0.315,0.023,0,0
2013-02-20 08:00,0.203,0.020,0,0
2013-02-20 09:00,0.135,0.026,0,0
2013-02-20 10:00,-0.013,0.030,0,0
2013-02-20 11:00,0.023,0.030,0,0
2013-02-20 12:00,0.059,0.033,0,0
2013-02-20 13:00,0.043,0.033,0,0
2013-02-20 14:00,0.115,0.023,0,0
2013-02-20 15:00,0.102,0.000,0,0
2013-02-20 16:00,0.292,0.023,0,0
2013-02-20 17:00,0.436,0.023,0,0
2013-02-20 18:00,0.505,0.016,0,0
2013-02-20 19:00,0.623,0.030,0,0
2013-02-20 20:00,0.787,0.043,0,0
2013-02-20 21:00,0.942,0.036,0,0
2013-02-20 22:00,1.096,0.013,0,0
2013-02-20 23:00,1.178,0.023,0,0
2013-02-21 00:00,1.234,0.013,0,0
2013-02-21 01:00,1.132,0.016,0,0
2013-02-21 02:00,1.122,0.016,0,0
2013-02-21 03:00,1.004,0.016,0,0
2013-02-21 04:00,0.935,0.016,0,0
2013-02-21 05:00,0.758,0.010,0,0
2013-02-21 06:00,0.689,0.010,0,0
2013-02-21 07:00,0.528,0.020,0,0
2013-02-21 08:00,0.387,0.010,0,0
2013-02-21 09:00,0.305,0.013,0,0
